c FILE			: graphs/g_100_27.txt
c No. of vertices	: 100
c No. of directed edges	: 10000
c Max. weight		: 100
c Min. weight		: 90
c A directed arc from u to v of weight w
c is represented below as ' a  u  v  w '
p sp 100 10000
a 1 27 95
a 32 69 91
a 63 1 96
a 10 36 92
a 7 10 91
a 26 41 93
a 7 1 96
a 17 42 93
a 39 1 91
a 38 94 93
a 11 10 92
a 80 52 98
a 47 1 99
a 2 67 94
a 27 95 92
a 30 5 99
a 94 92 95
a 22 11 92
a 95 97 90
a 22 1 90
a 20 7 98
a 13 41 95
a 41 30 91
a 58 8 99
a 22 1 99
a 88 16 95
a 33 48 93
a 26 7 99
a 22 8 95
a 19 7 98
a 47 35 97
a 13 38 92
a 10 60 96
a 2 5 95
a 1 51 91
a 13 5 99
a 26 33 92
a 61 54 92
a 10 4 94
a 1 19 94
a 41 1 90
a 77 76 94
a 67 2 91
a 30 27 92
a 55 67 99
a 32 38 96
a 8 1 91
a 20 58 94
a 76 14 97
a 13 51 90
a 2 1 94
a 5 29 92
a 66 19 95
a 89 1 91
a 63 58 95
a 27 14 94
a 7 13 95
a 7 32 90
a 20 13 92
a 66 27 98
a 32 85 90
a 4 60 95
a 14 8 97
a 51 54 92
a 54 69 97
a 7 83 95
a 32 1 90
a 80 76 94
a 14 2 98
a 2 73 98
a 30 80 94
a 1 32 97
a 44 47 99
a 39 13 92
a 27 2 90
a 82 57 96
a 41 26 93
a 27 5 90
a 42 5 91
a 26 51 96
a 17 22 97
a 14 39 96
a 60 8 97
a 26 67 99
a 22 10 93
a 39 38 90
a 89 94 90
a 82 63 91
a 19 11 90
a 51 76 98
a 69 63 95
a 26 1 91
a 76 57 93
a 26 72 91
a 32 85 95
a 27 33 90
a 83 58 97
a 80 55 95
a 22 14 96
a 22 69 98
a 42 88 90
a 7 8 94
a 73 36 96
a 27 76 95
a 33 86 90
a 32 52 91
a 82 98 94
a 32 79 95
a 19 16 99
a 26 2 95
a 33 77 95
a 38 95 98
a 17 23 97
a 72 22 99
a 10 1 92
a 52 39 99
a 85 52 99
a 63 64 90
a 2 32 92
a 1 39 91
a 11 52 91
a 63 13 97
a 11 73 92
a 52 16 91
a 95 42 94
a 32 45 98
a 29 7 92
a 69 23 92
a 88 26 90
a 35 22 95
a 16 22 90
a 10 29 98
a 41 54 92
a 17 35 96
a 58 32 94
a 57 4 94
a 20 48 94
a 16 5 90
a 77 94 98
a 10 7 90
a 38 16 91
a 4 55 98
a 38 2 93
a 22 61 92
a 27 67 91
a 32 35 96
a 54 1 91
a 16 5 98
a 58 20 93
a 23 22 96
a 70 51 96
a 22 17 91
a 61 51 96
a 1 4 97
a 70 83 90
a 98 48 93
a 48 41 95
a 7 76 95
a 86 26 93
a 1 16 97
a 22 4 93
a 13 66 90
a 29 26 96
a 5 19 95
a 70 58 99
a 4 69 93
a 5 55 97
a 63 7 90
a 76 54 96
a 27 33 90
a 66 41 91
a 4 29 90
a 57 52 93
a 23 20 94
a 51 63 99
a 5 42 92
a 10 22 98
a 20 7 99
a 32 4 92
a 26 39 90
a 63 89 92
a 22 63 96
a 17 61 94
a 86 85 92
a 13 17 99
a 17 38 94
a 1 35 98
a 73 70 96
a 4 55 95
a 52 51 92
a 26 2 94
a 88 26 98
a 5 17 92
a 1 35 93
a 8 29 94
a 41 16 98
a 13 64 92
a 16 51 95
a 1 29 93
a 44 32 91
a 10 26 94
a 94 47 90
a 22 10 99
a 79 23 92
a 4 5 97
a 41 29 94
a 45 70 98
a 27 52 94
a 11 57 90
a 42 20 93
a 64 2 95
a 70 14 92
a 26 2 99
a 5 61 94
a 82 94 94
a 20 64 93
a 27 5 99
a 44 7 90
a 7 27 90
a 27 29 93
a 32 57 96
a 14 16 98
a 29 5 92
a 22 13 93
a 47 41 99
a 1 7 98
a 41 39 91
a 19 27 99
a 67 27 97
a 72 70 96
a 70 69 93
a 23 72 94
a 27 39 97
a 52 64 93
a 76 8 99
a 95 8 99
a 77 60 95
a 7 22 99
a 5 80 94
a 80 55 93
a 33 45 99
a 58 23 98
a 64 52 91
a 79 76 99
a 1 13 99
a 60 82 93
a 44 7 94
a 4 97 91
a 89 64 97
a 17 55 93
a 88 5 91
a 76 51 94
a 95 89 98
a 10 2 99
a 20 10 91
a 1 51 90
a 47 16 93
a 86 83 95
a 10 7 94
a 82 26 96
a 64 2 97
a 27 64 97
a 94 63 91
a 79 29 93
a 79 92 99
a 86 91 93
a 83 39 95
a 69 73 91
a 1 10 98
a 4 13 90
a 38 45 94
a 52 2 90
a 13 27 93
a 4 8 91
a 26 91 94
a 89 61 96
a 38 26 99
a 20 95 90
a 2 10 95
a 22 4 96
a 57 61 95
a 95 83 98
a 89 41 98
a 57 32 90
a 7 44 90
a 14 69 93
a 72 91 97
a 76 57 95
a 64 63 99
a 13 22 97
a 7 1 98
a 13 77 91
a 47 54 92
a 51 57 99
a 85 58 93
a 20 10 93
a 98 39 99
a 26 82 99
a 32 76 97
a 8 22 92
a 72 61 93
a 79 57 99
a 79 72 90
a 27 94 94
a 76 70 90
a 30 27 91
a 82 98 99
a 19 52 98
a 54 92 90
a 67 91 95
a 19 69 97
a 41 57 91
a 4 66 97
a 54 66 93
a 92 36 94
a 79 7 97
a 1 4 99
a 27 39 91
a 13 44 94
a 7 57 96
a 57 83 94
a 41 19 95
a 2 64 95
a 82 36 92
a 8 13 91
a 39 13 94
a 64 54 96
a 88 94 91
a 33 77 98
a 29 7 96
a 44 38 92
a 63 19 96
a 79 42 99
a 44 20 99
a 19 13 92
a 41 47 93
a 32 82 95
a 4 51 97
a 95 73 99
a 8 57 99
a 79 95 99
a 79 51 90
a 32 1 93
a 80 33 95
a 89 88 93
a 4 29 98
a 14 13 94
a 20 47 97
a 27 2 98
a 76 26 97
a 69 10 98
a 13 94 95
a 97 66 99
a 14 27 90
a 76 63 97
a 10 4 90
a 4 26 92
a 2 1 94
a 13 63 93
a 48 42 96
a 2 7 92
a 4 27 96
a 77 76 99
a 32 82 98
a 60 8 96
a 57 26 92
a 27 26 96
a 36 42 97
a 47 10 99
a 57 70 97
a 36 7 92
a 8 7 95
a 5 20 95
a 35 79 94
a 33 5 93
a 17 48 94
a 10 26 91
a 82 57 94
a 1 14 90
a 2 1 96
a 2 8 99
a 17 16 95
a 76 1 99
a 7 19 95
a 13 22 99
a 60 72 90
a 5 51 92
a 1 4 91
a 13 4 92
a 63 66 94
a 54 23 97
a 61 35 94
a 57 51 96
a 73 44 97
a 57 7 98
a 1 92 96
a 1 10 94
a 80 91 92
a 41 79 97
a 1 13 94
a 13 1 96
a 4 61 93
a 76 54 92
a 86 27 91
a 51 5 96
a 63 91 99
a 38 19 93
a 26 4 95
a 38 26 96
a 63 13 98
a 41 7 94
a 88 79 92
a 22 30 93
a 61 36 96
a 45 39 95
a 29 10 97
a 33 10 96
a 19 7 92
a 60 79 92
a 20 17 91
a 5 36 95
a 98 57 92
a 13 1 90
a 66 91 92
a 16 79 96
a 26 41 90
a 83 86 95
a 85 35 98
a 1 13 90
a 58 51 99
a 42 48 98
a 76 27 97
a 67 13 91
a 57 7 97
a 7 76 99
a 19 2 97
a 16 13 95
a 80 30 90
a 58 7 94
a 52 76 96
a 66 72 96
a 23 48 93
a 57 19 99
a 11 29 94
a 8 23 95
a 5 10 91
a 29 1 94
a 57 13 90
a 60 86 99
a 10 4 97
a 60 19 95
a 51 10 91
a 35 10 96
a 17 20 98
a 36 91 97
a 39 5 94
a 27 1 95
a 63 64 99
a 14 22 95
a 19 16 93
a 77 83 92
a 13 19 92
a 4 1 90
a 16 19 97
a 13 44 97
a 92 77 93
a 60 13 99
a 76 8 91
a 7 2 91
a 14 19 98
a 11 8 91
a 32 27 92
a 77 51 91
a 38 39 91
a 42 17 90
a 4 38 94
a 76 1 95
a 5 55 94
a 54 67 90
a 14 64 90
a 69 66 91
a 38 20 93
a 52 2 96
a 60 61 94
a 8 10 93
a 89 42 98
a 7 10 94
a 72 22 96
a 5 51 98
a 47 35 97
a 33 83 99
a 61 8 94
a 54 51 96
a 52 66 94
a 10 52 91
a 57 5 92
a 26 5 93
a 79 60 91
a 83 57 98
a 26 38 97
a 58 60 92
a 26 16 95
a 10 22 95
a 63 13 95
a 89 27 90
a 86 85 94
a 83 97 92
a 23 29 93
a 11 35 99
a 63 79 90
a 44 51 94
a 26 38 90
a 29 4 96
a 94 88 95
a 2 52 97
a 55 2 95
a 16 63 96
a 41 30 97
a 22 98 94
a 7 1 95
a 16 63 96
a 98 52 94
a 54 66 90
a 26 32 98
a 63 20 90
a 5 7 93
a 14 39 94
a 10 22 93
a 79 32 97
a 44 57 92
a 77 95 95
a 61 82 91
a 82 26 91
a 52 55 94
a 82 41 98
a 19 69 91
a 13 92 92
a 11 47 94
a 1 2 97
a 22 35 95
a 79 41 98
a 7 44 93
a 33 48 93
a 14 63 96
a 4 52 92
a 47 5 96
a 64 14 95
a 61 20 94
a 57 22 93
a 91 72 90
a 95 89 91
a 5 54 92
a 98 97 93
a 33 22 92
a 85 60 90
a 1 52 99
a 48 20 92
a 7 58 91
a 48 85 97
a 54 97 90
a 95 83 96
a 70 47 90
a 77 83 99
a 2 51 96
a 14 41 96
a 36 29 90
a 8 2 97
a 80 67 91
a 32 60 91
a 16 51 98
a 26 52 90
a 76 80 97
a 13 44 93
a 33 48 93
a 33 2 99
a 63 67 94
a 7 26 97
a 20 19 96
a 10 17 95
a 92 86 96
a 79 77 90
a 10 4 97
a 89 94 93
a 4 60 98
a 17 92 92
a 54 10 97
a 97 32 99
a 1 13 99
a 1 8 92
a 39 14 94
a 91 17 91
a 52 20 93
a 2 89 95
a 57 26 98
a 61 8 95
a 57 63 93
a 33 39 93
a 22 10 91
a 63 66 93
a 51 1 94
a 63 57 98
a 2 51 94
a 41 72 97
a 10 16 95
a 73 76 90
a 7 8 97
a 77 36 92
a 19 94 98
a 19 23 98
a 57 97 96
a 88 76 91
a 11 8 98
a 20 1 92
a 16 13 95
a 77 26 96
a 26 5 94
a 57 7 95
a 35 79 90
a 67 2 95
a 26 77 90
a 32 33 95
a 54 67 96
a 86 61 98
a 55 5 92
a 7 1 92
a 55 8 96
a 27 76 99
a 63 64 91
a 1 77 98
a 48 27 90
a 35 29 97
a 76 77 90
a 57 69 93
a 4 91 92
a 85 80 94
a 13 38 98
a 26 51 99
a 85 76 91
a 66 4 99
a 51 85 98
a 2 8 90
a 94 97 92
a 61 60 91
a 27 63 97
a 55 79 98
a 27 33 94
a 36 29 97
a 10 35 95
a 22 4 95
a 63 72 90
a 51 63 94
a 67 38 96
a 80 17 99
a 88 38 99
a 57 76 96
a 67 55 99
a 16 79 97
a 7 33 98
a 38 32 91
a 13 26 91
a 16 26 97
a 30 36 91
a 10 5 92
a 14 2 99
a 61 1 91
a 7 8 97
a 4 57 93
a 22 45 96
a 8 2 94
a 38 63 98
a 45 52 98
a 32 76 92
a 94 44 98
a 11 19 97
a 64 45 98
a 79 80 95
a 38 64 97
a 13 1 95
a 51 13 97
a 38 13 93
a 51 63 91
a 32 4 95
a 2 13 93
a 70 63 94
a 26 13 92
a 82 27 96
a 63 17 92
a 60 4 96
a 17 80 95
a 76 55 95
a 67 17 97
a 77 79 98
a 1 32 98
a 17 64 97
a 38 26 95
a 8 33 94
a 48 44 91
a 10 35 99
a 42 2 92
a 88 66 97
a 26 1 91
a 13 1 98
a 10 1 99
a 13 29 97
a 29 30 91
a 80 5 92
a 39 14 95
a 1 8 98
a 44 35 90
a 19 13 99
a 51 54 97
a 27 38 93
a 27 51 98
a 11 55 98
a 33 1 97
a 10 5 95
a 35 16 93
a 45 48 95
a 27 26 90
a 36 32 99
a 60 35 95
a 22 54 95
a 8 7 98
a 67 72 94
a 20 19 90
a 91 4 93
a 82 1 98
a 77 26 95
a 5 17 95
a 1 11 95
a 57 92 97
a 1 2 90
a 33 61 94
a 52 2 95
a 1 60 94
a 14 17 98
a 20 14 96
a 39 57 90
a 10 98 90
a 94 29 92
a 27 64 90
